Date,COVID-19 Hospitalizations,Adult ICU COVID-19 Patients,Hospitalized and Ventilated COVID-19 Inpatient Count,COVID-19 Confirmed Patients Admitted - Last 24 Hours,Influenza Confirmed Patients Admitted - Last 24 Hours
7/23/2022,1150,131,59,191,6
7/22/2022,1137,131,55,212,6
7/21/2022,1110,120,50,175,8
7/20/2022,1123,112,44,193,4
7/19/2022,1111,130,45,220,4
7/18/2022,1109,129,54,159,5
7/17/2022,1038,124,54,139,4
7/16/2022,1040,129,58,162,5
7/15/2022,1051,138,53,172,4
7/14/2022,1064,125,52,163,5
7/13/2022,1045,116,52,163,6
7/12/2022,1043,112,49,166,11
7/11/2022,1046,114,49,156,1
7/10/2022,984,106,41,119,5
7/9/2022,1000,98,35,155,2
7/8/2022,1006,104,31,160,1
7/7/2022,1008,110,40,172,3
7/6/2022,985,112,37,160,5
7/5/2022,979,108,35,118,1
7/4/2022,916,105,37,107,2
7/3/2022,895,98,33,109,3
7/2/2022,900,104,30,129,4
7/1/2022,872,99,37,137,6
6/30/2022,854,91,38,142,10
6/29/2022,843,93,34,119,3
6/28/2022,848,100,36,145,5
6/27/2022,859,92,38,118,4
6/26/2022,794,93,39,105,2
6/25/2022,770,99,38,121,4
6/24/2022,800,99,35,131,5
6/23/2022,813,104,46,134,6
6/22/2022,790,101,45,123,12
6/21/2022,790,108,47,114,11
6/20/2022,813,112,52,101,8
6/19/2022,800,99,51,107,13
6/18/2022,771,93,45,124,8
6/17/2022,786,102,49,118,8
6/16/2022,817,100,49,130,8
6/15/2022,818,90,42,118,9
6/14/2022,817,91,46,117,11
6/13/2022,830,90,44,132,9
6/12/2022,764,88,45,102,4
6/11/2022,737,90,40,133,7
6/10/2022,777,89,41,125,10
6/9/2022,804,85,31,140,2
6/8/2022,781,80,38,134,6
6/7/2022,772,79,34,140,4
6/6/2022,785,77,30,102,7
6/5/2022,766,64,28,113,3
6/4/2022,755,64,27,121,6
6/3/2022,793,79,28,140,6
6/2/2022,779,86,34,134,4
6/1/2022,729,79,35,120,8
5/31/2022,716,81,32,123,2
5/30/2022,681,71,26,111,4
5/29/2022,660,65,24,87,4
5/28/2022,673,67,25,110,8
5/27/2022,675,75,25,111,5
5/26/2022,681,73,23,109,8
5/25/2022,676,80,24,125,10
5/24/2022,660,74,31,119,5
5/23/2022,634,69,21,100,3
5/22/2022,595,63,22,61,8
5/21/2022,580,59,22,89,3
5/20/2022,599,66,19,105,9
5/19/2022,611,69,24,98,6
5/18/2022,569,58,24,105,12
5/17/2022,558,58,26,100,9
5/16/2022,555,52,20,65,4
5/15/2022,548,52,24,81,8
5/14/2022,524,51,20,86,6
5/13/2022,513,50,21,95,4
5/12/2022,478,42,24,94,9
5/11/2022,460,47,23,87,8
5/10/2022,435,46,22,66,7
5/9/2022,440,46,32,51,4
5/8/2022,444,51,31,45,3
5/7/2022,442,51,28,48,8
5/6/2022,444,54,26,75,2
5/5/2022,455,49,23,73,7
5/4/2022,458,43,23,67,3
5/3/2022,444,41,19,73,9
5/2/2022,415,48,23,49,12
5/1/2022,401,45,20,44,8
4/30/2022,400,45,22,52,6
4/29/2022,400,44,20,46,11
4/28/2022,415,42,20,57,4
4/27/2022,432,41,19,65,10
4/26/2022,441,46,23,54,9
4/25/2022,406,40,23,51,10
4/24/2022,369,37,22,49,11
4/23/2022,365,34,22,49,11
4/22/2022,348,40,23,38,5
4/21/2022,348,42,24,33,7
4/20/2022,353,42,22,44,4
4/19/2022,353,42,23,31,10
4/18/2022,365,39,25,35,3
4/17/2022,358,40,25,26,4
4/16/2022,365,40,28,42,12
4/15/2022,357,45,23,54,7
4/14/2022,349,44,24,53,10
4/13/2022,348,44,26,41,4
4/12/2022,344,51,26,31,6
4/11/2022,348,48,27,27,1
4/10/2022,344,48,30,32,4
4/9/2022,349,50,38,43,3
4/8/2022,360,55,38,31,7
4/7/2022,368,60,41,43,7
4/6/2022,366,67,39,31,3
4/5/2022,380,58,41,35,5
4/4/2022,384,65,39,36,6
4/3/2022,378,64,36,23,6
4/2/2022,402,66,37,35,7
4/1/2022,437,64,30,41,3
3/31/2022,440,73,34,44,4
3/30/2022,453,78,43,34,2
3/29/2022,467,68,41,44,5
3/28/2022,500,78,42,42,3
3/27/2022,517,88,46,34,0
3/26/2022,515,87,45,47,5
3/25/2022,541,95,46,56,4
3/24/2022,557,99,56,41,1
3/23/2022,584,105,67,57,0
3/22/2022,587,104,64,57,1
3/21/2022,616,108,65,28,4
3/20/2022,636,123,73,33,1
3/19/2022,662,125,75,59,0
3/18/2022,679,122,79,53,2
3/17/2022,722,123,80,51,2
3/16/2022,768,146,85,53,0
3/15/2022,798,141,86,81,0
3/14/2022,832,156,93,47,1
3/13/2022,847,163,93,57,2
3/12/2022,844,169,101,67,3
3/11/2022,909,179,93,82,6
3/10/2022,968,186,104,69,8
3/9/2022,1013,198,112,67,5
3/8/2022,1094,208,119,72,9
3/7/2022,1177,222,126,90,10
3/6/2022,1194,240,146,77,139
3/5/2022,1192,240,151,111,11
3/4/2022,1289,265,157,113,5
3/3/2022,1335,285,165,116,7
3/2/2022,1404,278,163,127,8
3/1/2022,1477,277,191,134,6
2/28/2022,1550,301,189,94,5
2/27/2022,1614,324,197,117,2
2/26/2022,1676,341,211,161,4
2/25/2022,1804,355,222,153,5
2/24/2022,1897,374,248,197,4
2/23/2022,1985,389,260,204,5
2/22/2022,2128,419,275,195,3
2/21/2022,2221,438,284,167,8
2/20/2022,2312,434,278,171,7
2/19/2022,2362,448,293,224,1
2/18/2022,2497,471,294,256,10
2/17/2022,2637,482,317,248,9
2/16/2022,2719,502,330,292,12
2/15/2022,2870,523,336,287,8
2/14/2022,3041,552,348,230,7
2/13/2022,3071,587,379,249,10
2/12/2022,3172,614,378,281,6
2/11/2022,3372,632,386,331,9
2/10/2022,3561,657,406,359,9
2/9/2022,3699,662,420,399,8
2/8/2022,3827,658,447,419,7
2/7/2022,3956,655,444,345,8
2/6/2022,4020,683,473,339,8
2/5/2022,4131,698,474,432,8
2/4/2022,4337,725,493,418,11
2/3/2022,4492,753,495,511,6
2/2/2022,4599,762,497,517,6
2/1/2022,4729,752,488,537,7
1/31/2022,4837,768,494,449,9
1/30/2022,4880,790,497,461,7
1/29/2022,4929,793,523,598,6
1/28/2022,5044,807,511,636,6
1/27/2022,5089,821,515,585,6
1/26/2022,5206,824,512,697,7
1/25/2022,5108,811,501,737,7
1/24/2022,5060,806,463,601,9
1/23/2022,4905,794,486,426,9
1/22/2022,4881,793,478,586,10
1/21/2022,4870,788,472,711,11
1/20/2022,4872,822,491,688,10
1/19/2022,4643,796,482,702,11
1/18/2022,4732,790,487,596,10
1/17/2022,4630,768,462,428,10
1/16/2022,4467,763,452,548,11
1/15/2022,4489,781,453,601,14
1/14/2022,4494,766,452,695,16
1/13/2022,4400,762,467,583,23
1/12/2022,4291,747,450,599,22
1/11/2022,4106,718,436,639,25
1/10/2022,3992,724,421,515,28
1/9/2022,3843,707,419,460,26
1/8/2022,3715,688,419,529,25
1/7/2022,3664,691,409,563,32
1/6/2022,3476,651,377,518,30
1/5/2022,3270,632,373,470,3
1/4/2022,3102,635,363,479,25
1/3/2022,2987,602,357,446,33
1/2/2022,2734,599,349,402,32
1/1/2022,2590,545,340,370,34
12/31/2021,2519,540,319,357,29
12/30/2021,2400,521,302,373,29
12/29/2021,2267,502,285,390,30
12/28/2021,2115,482,298,332,19
12/27/2021,1982,480,292,249,22
12/26/2021,1833,469,300,226,16
12/25/2021,1739,464,299,209,24
12/24/2021,1752,460,284,263,20
12/23/2021,1786,445,283,239,16
12/22/2021,1755,458,259,241,19
12/21/2021,1698,449,272,207,12
12/20/2021,1686,441,264,180,10
12/19/2021,1649,447,261,190,12
12/18/2021,1632,442,257,209,12
12/17/2021,1613,432,252,199,14
12/16/2021,1619,431,245,197,9
12/15/2021,1611,417,232,187,8
12/14/2021,1565,424,245,189,7
12/13/2021,1571,434,244,168,7
12/12/2021,1549,413,227,146,11
12/11/2021,1549,410,216,203,6
12/10/2021,1553,386,202,209,7
12/9/2021,1524,383,213,203,13
12/8/2021,1485,380,207,177,6
12/7/2021,1420,358,203,204,11
12/6/2021,1377,344,188,153,5
12/5/2021,1324,351,191,149,1
12/4/2021,1264,333,187,157,3
12/3/2021,1258,334,191,175,1
12/2/2021,1220,318,188,141,0
12/1/2021,1214,314,195,145,2
11/30/2021,1160,302,172,142,4
11/29/2021,1132,290,176,132,5
11/28/2021,1104,293,177,115,4
11/27/2021,1088,286,175,153,4
11/26/2021,1075,282,175,98,4
11/25/2021,1048,269,164,118,4
11/24/2021,1085,273,168,149,2
11/23/2021,1116,262,163,142,3
11/22/2021,1115,274,177,126,1
11/21/2021,1067,283,179,115,0
11/20/2021,1041,270,171,121,0
11/19/2021,1068,286,183,117,1
11/18/2021,1055,294,176,123,0
11/17/2021,1056,286,187,117,0
11/16/2021,1049,285,191,130,1
11/15/2021,1050,299,195,108,0
11/14/2021,1045,292,212,83,0
11/13/2021,1031,294,210,98,0
11/12/2021,1076,302,196,112,2
11/11/2021,1093,313,210,99,0
11/10/2021,1083,315,213,105,1
11/9/2021,1106,312,209,122,0
11/8/2021,1109,330,222,88,0
11/7/2021,1073,322,212,106,0
11/6/2021,1063,321,226,111,1
11/5/2021,1070,312,218,97,5
11/4/2021,1140,340,235,110,6
11/3/2021,1174,346,252,103,8
11/2/2021,1189,348,265,105,8
11/1/2021,1225,370,263,94,9
10/31/2021,1227,364,284,93,13
10/30/2021,1224,368,287,113,8
10/29/2021,1313,390,304,107,5
10/28/2021,1347,398,296,116,4
10/27/2021,1399,404,303,121,4
10/26/2021,1435,422,304,128,8
10/25/2021,1473,430,314,111,4
10/24/2021,1524,433,335,114,4
10/23/2021,1532,453,333,121,3
10/22/2021,1618,465,338,117,4
10/21/2021,1706,476,357,149,5
10/20/2021,1763,499,372,153,5
10/19/2021,1823,506,378,168,8
10/18/2021,1894,530,382,143,3
10/17/2021,1941,547,399,166,4
10/16/2021,1972,555,396,179,5
10/15/2021,2036,555,406,186,3
10/14/2021,2079,569,417,178,3
10/13/2021,2213,597,422,214,2
10/12/2021,2270,616,442,228,3
10/11/2021,2306,624,460,190,2
10/10/2021,2311,617,465,186,3
10/9/2021,2320,613,475,224,2
10/8/2021,2411,656,481,232,2
10/7/2021,2447,668,493,224,1
10/6/2021,2546,684,511,236,2
10/5/2021,2590,702,534,243,1
10/4/2021,2703,747,555,233,0
10/3/2021,2702,744,588,209,0
10/2/2021,2743,749,604,258,1
10/1/2021,2806,759,614,260,1
9/30/2021,2873,784,628,267,1
9/29/2021,2943,811,653,255,3
9/28/2021,3005,836,675,273,2
9/27/2021,3109,876,692,246,3
9/26/2021,3117,887,699,264,3
9/25/2021,3122,881,681,292,1
9/24/2021,3289,881,678,327,1
9/23/2021,3365,895,694,359,1
9/22/2021,3361,890,683,323,1
9/21/2021,3402,907,704,357,1
9/20/2021,3467,907,723,336,0
9/19/2021,3452,903,702,287,0
9/18/2021,3447,891,707,318,1
9/17/2021,3537,900,724,386,1
9/16/2021,3572,909,726,385,2
9/15/2021,3617,926,743,353,1
9/14/2021,3632,943,737,386,0
9/13/2021,3688,954,729,352,1
9/12/2021,3692,931,722,346,3
9/11/2021,3746,925,710,374,3
9/10/2021,3771,913,696,391,2
9/9/2021,3787,918,696,440,1
9/8/2021,3818,922,709,452,1
9/7/2021,3808,934,678,359,2
9/6/2021,3815,937,693,373,1
9/5/2021,3753,930,686,372,1
9/4/2021,3715,937,681,393,0
9/3/2021,3813,946,684,403,0
9/2/2021,3817,935,673,408,1
9/1/2021,3813,922,668,426,0
8/31/2021,3806,938,663,444,1
8/30/2021,3714,952,648,344,1
8/29/2021,3654,943,635,363,1
8/28/2021,3617,957,633,376,0
8/27/2021,3636,938,599,389,0
8/26/2021,3669,921,604,396,0
8/25/2021,3551,884,568,387,0
8/24/2021,3508,864,556,411,1
8/23/2021,3442,850,522,377,1
8/22/2021,3386,826,518,373,3
8/21/2021,3243,802,496,385,2
8/20/2021,3181,774,487,365,1
8/19/2021,3168,767,462,400,0
8/18/2021,3108,738,448,398,0
8/17/2021,2939,728,428,376,1
8/16/2021,2836,710,425,331,1
8/15/2021,2680,674,373,320,1
8/14/2021,2710,657,365,339,2
